#    Lat.       Lon.           Depth(km)    Vp(km/s)     Vs(km/s)    Rho(g/cm^3)  
     44.1250    -103.8750       1.0000       4.8010       2.3980       2.5311 
     44.1250    -103.6250       1.0000       4.8270       2.4430       2.5349 
     44.1250    -103.3750       1.0000       4.8570       2.4250       2.5393 
     44.1250    -103.1250       1.0000       4.8790       2.4960       2.5424 
     44.1250    -102.8750       1.0000       4.9040       2.5140       2.5460 
     44.1250    -102.6250       1.0000       4.9350       2.5250       2.5505 
     44.1250    -102.3750       1.0000       4.9630       2.5440       2.5545 
     44.1250    -102.1250       1.0000       4.9820       2.5550       2.5572 
     44.1250    -101.8750       1.0000       5.0020       2.5500       2.5601 
     44.1250    -101.6250       1.0000       5.0190       2.5380       2.5625 
     44.1250    -101.3750       1.0000       5.0370       2.5480       2.5651 
     44.1250    -101.1250       1.0000       5.0660       2.5930       2.5692 
     44.3750    -106.8750       1.0000       4.4600       2.1410       2.4793 
     44.3750    -106.6250       1.0000       4.4340       2.0830       2.4752 
     44.3750    -106.3750       1.0000       4.4230       2.0400       2.4735 
     44.3750    -106.1250       1.0000       4.4580       2.0190       2.4790 
     44.3750    -105.8750       1.0000       4.4770       2.0350       2.4820 
     44.3750    -105.6250       1.0000       4.4690       2.0860       2.4808 
     44.3750    -105.3750       1.0000       4.5510       2.1660       2.4936 
     44.3750    -105.1250       1.0000       4.5910       2.2260       2.4997 
     44.3750    -104.8750       1.0000       4.6580       2.2990       2.5099 
     44.3750    -104.6250       1.0000       4.7370       2.3640       2.5217 
     44.3750    -104.3750       1.0000       4.7620       2.4040       2.5254 
     44.3750    -104.1250       1.0000       4.7720       2.4270       2.5269 
     44.3750    -103.8750       1.0000       4.7870       2.4440       2.5291 
     44.3750    -103.6250       1.0000       4.7940       2.4830       2.5301 
     44.3750    -103.3750       1.0000       4.8330       2.4710       2.5358 
     44.3750    -103.1250       1.0000       4.8630       2.5010       2.5401 
     44.3750    -102.8750       1.0000       4.8890       2.5270       2.5439 
     44.3750    -102.6250       1.0000       4.9140       2.5760       2.5475 
     44.3750    -102.3750       1.0000       4.9450       2.5820       2.5519 
     44.3750    -102.1250       1.0000       4.9740       2.5490       2.5561 
     44.3750    -101.8750       1.0000       4.9980       2.5260       2.5595 
     44.3750    -101.6250       1.0000       5.0190       2.5200       2.5625 
     44.3750    -101.3750       1.0000       5.0430       2.5420       2.5659 
     44.3750    -101.1250       1.0000       5.0770       2.5610       2.5708 
     44.6250    -106.8750       1.0000       4.4140       2.0830       2.4720 
     44.6250    -106.6250       1.0000       4.4250       2.0310       2.4738 
     44.6250    -106.3750       1.0000       4.3960       2.0200       2.4691 
     44.6250    -106.1250       1.0000       4.4570       2.0230       2.4789 
     44.6250    -105.8750       1.0000       4.4940       2.0750       2.4847 
     44.6250    -105.6250       1.0000       4.5110       2.1440       2.4874 
     44.6250    -105.3750       1.0000       4.6100       2.2550       2.5026 
     44.6250    -105.1250       1.0000       4.6130       2.2930       2.5031 
     44.6250    -104.8750       1.0000       4.6820       2.3550       2.5135 
     44.6250    -104.6250       1.0000       4.8320       2.3950       2.5356 
     44.6250    -104.3750       1.0000       4.8000       2.4300       2.5310 
     44.6250    -104.1250       1.0000       4.7660       2.4340       2.5260 
     44.6250    -103.8750       1.0000       4.7510       2.4710       2.5238 
     44.6250    -103.6250       1.0000       4.6850       2.4700       2.5140 
     44.6250    -103.3750       1.0000       4.7850       2.4760       2.5288 
     44.6250    -103.1250       1.0000       4.8280       2.4900       2.5351 
     44.6250    -102.8750       1.0000       4.8580       2.5050       2.5394 
     44.6250    -102.6250       1.0000       4.8840       2.5400       2.5432 
     44.6250    -102.3750       1.0000       4.9120       2.5330       2.5472 
     44.6250    -102.1250       1.0000       4.9400       2.4960       2.5512 
     44.6250    -101.8750       1.0000       4.9690       2.4760       2.5554 
     44.6250    -101.6250       1.0000       4.9940       2.4760       2.5589 
     44.6250    -101.3750       1.0000       5.0220       2.4910       2.5629 
     44.6250    -101.1250       1.0000       5.0630       2.4980       2.5688 
     44.8750    -106.8750       1.0000       4.4680       2.0360       2.4806 
     44.8750    -106.6250       1.0000       4.4580       1.9710       2.4790 
     44.8750    -106.3750       1.0000       4.4570       1.9710       2.4789 
     44.8750    -106.1250       1.0000       4.4800       1.9720       2.4825 
     44.8750    -105.8750       1.0000       4.5000       2.1130       2.4856 
     44.8750    -105.6250       1.0000       4.5100       2.1810       2.4872 
     44.8750    -105.3750       1.0000       4.5450       2.2580       2.4927 
     44.8750    -105.1250       1.0000       4.5930       2.3090       2.5000 
     44.8750    -104.8750       1.0000       4.6650       2.3450       2.5110 
     44.8750    -104.6250       1.0000       4.7810       2.3610       2.5282 
     44.8750    -104.3750       1.0000       4.7540       2.3920       2.5242 
     44.8750    -104.1250       1.0000       4.7250       2.4130       2.5199 
     44.8750    -103.8750       1.0000       4.7170       2.4640       2.5187 
     44.8750    -103.6250       1.0000       4.7150       2.4940       2.5184 
     44.8750    -103.3750       1.0000       4.7490       2.5000       2.5235 
     44.8750    -103.1250       1.0000       4.7820       2.4700       2.5283 
     44.8750    -102.8750       1.0000       4.8120       2.4830       2.5327 
     44.8750    -102.6250       1.0000       4.8370       2.4940       2.5364 
     44.8750    -102.3750       1.0000       4.8610       2.4730       2.5398 
     44.8750    -102.1250       1.0000       4.8890       2.4440       2.5439 
     44.8750    -101.8750       1.0000       4.9170       2.4280       2.5479 
     44.8750    -101.6250       1.0000       4.9420       2.4310       2.5515 
     44.8750    -101.3750       1.0000       4.9750       2.4490       2.5562 
     44.8750    -101.1250       1.0000       5.0200       2.4660       2.5626 
     45.1250    -106.8750       1.0000       4.5120       2.1310       2.4875 
     45.1250    -106.6250       1.0000       4.4920       2.0750       2.4844 
     45.1250    -106.3750       1.0000       4.4840       2.0420       2.4831 
     45.1250    -106.1250       1.0000       4.4880       2.0120       2.4838 
     45.1250    -105.8750       1.0000       4.4990       2.1830       2.4855 
     45.1250    -105.6250       1.0000       4.4990       2.2040       2.4855 
     45.1250    -105.3750       1.0000       4.5120       2.2500       2.4875 
     45.1250    -105.1250       1.0000       4.5750       2.2890       2.4973 
     45.1250    -104.8750       1.0000       4.6290       2.3240       2.5055 
     45.1250    -104.6250       1.0000       4.6680       2.3500       2.5114 
     45.1250    -104.3750       1.0000       4.6640       2.3660       2.5108 
     45.1250    -104.1250       1.0000       4.6640       2.4000       2.5108 
     45.1250    -103.8750       1.0000       4.6680       2.4450       2.5114 
     45.1250    -103.6250       1.0000       4.6810       2.4720       2.5134 
     45.1250    -103.3750       1.0000       4.7000       2.4810       2.5162 
     45.1250    -103.1250       1.0000       4.7310       2.4580       2.5208 
     45.1250    -102.8750       1.0000       4.7580       2.4410       2.5248 
     45.1250    -102.6250       1.0000       4.7780       2.4130       2.5277 
     45.1250    -102.3750       1.0000       4.8090       2.4100       2.5323 
     45.1250    -102.1250       1.0000       4.8420       2.3950       2.5371 
     45.1250    -101.8750       1.0000       4.8700       2.3850       2.5411 
     45.1250    -101.6250       1.0000       4.8940       2.3910       2.5446 
     45.1250    -101.3750       1.0000       4.9260       2.4180       2.5492 
     45.1250    -101.1250       1.0000       4.9680       2.4600       2.5552 
     45.3750    -106.8750       1.0000       4.5260       2.2060       2.4897 
     45.3750    -106.6250       1.0000       4.5130       2.1660       2.4877 
     45.3750    -106.3750       1.0000       4.5060       2.1360       2.4866 
     45.3750    -106.1250       1.0000       4.5030       2.1400       2.4861 
     45.3750    -105.8750       1.0000       4.5040       2.1870       2.4863 
     45.3750    -105.6250       1.0000       4.5050       2.2180       2.4864 
     45.3750    -105.3750       1.0000       4.5160       2.2470       2.4881 
     45.3750    -105.1250       1.0000       4.5570       2.2670       2.4945 
     45.3750    -104.8750       1.0000       4.5870       2.2890       2.4991 
     45.3750    -104.6250       1.0000       4.5980       2.3180       2.5008 
     45.3750    -104.3750       1.0000       4.5900       2.3390       2.4996 
     45.3750    -104.1250       1.0000       4.6050       2.4150       2.5019 
     45.3750    -103.8750       1.0000       4.6210       2.4200       2.5043 
     45.3750    -103.6250       1.0000       4.6420       2.4030       2.5075 
     45.3750    -103.3750       1.0000       4.6610       2.4210       2.5104 
     45.3750    -103.1250       1.0000       4.6820       2.4380       2.5135 
     45.3750    -102.8750       1.0000       4.7010       2.3750       2.5163 
     45.3750    -102.6250       1.0000       4.7170       2.3480       2.5187 
     45.3750    -102.3750       1.0000       4.7520       2.3470       2.5239 
     45.3750    -102.1250       1.0000       4.7870       2.3500       2.5291 
     45.3750    -101.8750       1.0000       4.8180       2.3450       2.5336 
     45.3750    -101.6250       1.0000       4.8480       2.3530       2.5380 
     45.3750    -101.3750       1.0000       4.8830       2.3840       2.5430 
     45.3750    -101.1250       1.0000       4.9240       2.4460       2.5489 
     45.6250    -106.8750       1.0000       4.5460       2.2370       2.4928 
     45.6250    -106.6250       1.0000       4.5280       2.2060       2.4900 
     45.6250    -106.3750       1.0000       4.5340       2.1970       2.4909 
     45.6250    -106.1250       1.0000       4.5240       2.1930       2.4894 
     45.6250    -105.8750       1.0000       4.5100       2.2090       2.4872 
     45.6250    -105.6250       1.0000       4.5060       2.2270       2.4866 
     45.6250    -105.3750       1.0000       4.5310       2.2310       2.4905 
     45.6250    -105.1250       1.0000       4.5320       2.2480       2.4906 
     45.6250    -104.8750       1.0000       4.5430       2.2440       2.4923 
     45.6250    -104.6250       1.0000       4.5460       2.3340       2.4928 
     45.6250    -104.3750       1.0000       4.5440       2.3730       2.4925 
     45.6250    -104.1250       1.0000       4.5560       2.3840       2.4944 
     45.6250    -103.8750       1.0000       4.5810       2.3930       2.4982 
     45.6250    -103.6250       1.0000       4.6040       2.3700       2.5017 
     45.6250    -103.3750       1.0000       4.6220       2.3670       2.5045 
     45.6250    -103.1250       1.0000       4.6360       2.3540       2.5066 
     45.6250    -102.8750       1.0000       4.6480       2.3110       2.5084 
     45.6250    -102.6250       1.0000       4.6650       2.2900       2.5110 
     45.6250    -102.3750       1.0000       4.6930       2.2680       2.5152 
     45.6250    -102.1250       1.0000       4.7270       2.2640       2.5202 
     45.6250    -101.8750       1.0000       4.7600       2.2740       2.5251 
     45.6250    -101.6250       1.0000       4.7970       2.2870       2.5305 
     45.6250    -101.3750       1.0000       4.8370       2.3260       2.5364 
     45.6250    -101.1250       1.0000       4.8780       2.3990       2.5423 
     45.8750    -106.8750       1.0000       4.5620       2.2020       2.4953 
     45.8750    -106.6250       1.0000       4.5330       2.1950       2.4908 
     45.8750    -106.3750       1.0000       4.5410       2.1850       2.4920 
     45.8750    -106.1250       1.0000       4.5260       2.1490       2.4897 
     45.8750    -105.8750       1.0000       4.5020       2.2140       2.4860 
     45.8750    -105.6250       1.0000       4.4860       2.2320       2.4834 
     45.8750    -105.3750       1.0000       4.4930       2.2490       2.4845 
     45.8750    -105.1250       1.0000       4.4940       2.2750       2.4847 
     45.8750    -104.8750       1.0000       4.5000       2.2830       2.4856 
     45.8750    -104.6250       1.0000       4.4990       2.3030       2.4855 
     45.8750    -104.3750       1.0000       4.4980       2.3230       2.4853 
     45.8750    -104.1250       1.0000       4.5140       2.3390       2.4878 
     45.8750    -103.8750       1.0000       4.5390       2.3470       2.4917 
     45.8750    -103.6250       1.0000       4.5570       2.3410       2.4945 
     45.8750    -103.3750       1.0000       4.5690       2.3160       2.4964 
     45.8750    -103.1250       1.0000       4.5820       2.2860       2.4984 
     45.8750    -102.8750       1.0000       4.5930       2.2510       2.5000 
     45.8750    -102.6250       1.0000       4.6070       2.2180       2.5022 
     45.8750    -102.3750       1.0000       4.6330       2.2090       2.5061 
     45.8750    -102.1250       1.0000       4.6660       2.2030       2.5111 
     45.8750    -101.8750       1.0000       4.7020       2.2000       2.5165 
     45.8750    -101.6250       1.0000       4.7420       2.2070       2.5224 
     45.8750    -101.3750       1.0000       4.7820       2.2500       2.5283 
     45.8750    -101.1250       1.0000       4.8210       2.3300       2.5340 
     42.1250    -106.8750       3.0000       5.2120       3.1720       2.5900 
     42.1250    -106.6250       3.0000       5.2370       3.3620       2.5936 
     42.1250    -106.3750       3.0000       5.2750       3.5320       2.5990 
     42.1250    -106.1250       3.0000       5.3100       3.4210       2.6041 
     42.1250    -105.8750       3.0000       5.3670       3.2460       2.6124 
     42.1250    -105.6250       3.0000       5.4110       3.1400       2.6189 
     42.1250    -105.3750       3.0000       5.3840       3.1050       2.6149 
     42.1250    -105.1250       3.0000       5.3200       3.0130       2.6055 
     42.1250    -104.8750       3.0000       5.2490       2.9600       2.5953 
     42.1250    -104.6250       3.0000       5.1780       2.9510       2.5851 
     42.1250    -104.3750       3.0000       5.1350       2.9080       2.5790 
     42.1250    -104.1250       3.0000       5.1280       2.9300       2.5780 
     42.1250    -103.8750       3.0000       5.1310       2.9610       2.5784 
     42.1250    -103.6250       3.0000       5.1550       3.0310       2.5818 
     42.1250    -103.3750       3.0000       5.1960       3.1270       2.5877 
     42.1250    -103.1250       3.0000       5.2610       3.2130       2.5970 
     42.1250    -102.8750       3.0000       5.3310       3.2630       2.6071 
     42.1250    -102.6250       3.0000       5.3850       3.2800       2.6150 
     42.1250    -102.3750       3.0000       5.4370       3.2900       2.6228 
     42.1250    -102.1250       3.0000       5.4940       3.2200       2.6314 
     42.1250    -101.8750       3.0000       5.5520       3.1880       2.6403 
     42.1250    -101.6250       3.0000       5.5980       3.1640       2.6475 
     42.1250    -101.3750       3.0000       5.6770       3.1610       2.6603 
     42.1250    -101.1250       3.0000       5.7920       3.2740       2.6799 
